MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jan 2013 to Mar 2026


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar
,,05,1.5961,1.7701,1.3763
,,06,1.6019,1.7776,1.3771
,,07,1.5987,1.7780,1.3754
,,10,1.5938,1.7825,1.3808
,,11,1.5971,1.7958,1.3773
,,12,1.5958,1.7915,1.3773
,,13,1.5962,1.7902,1.3716
,,14,1.6021,1.7974,1.3701
,,17,1.5995,1.7981,1.3745
,,18,1.6038,1.8048,1.3714
,,19,1.5996,1.8021,1.3704
,,20,1.5988,1.7999,1.3690
,,21,1.6069,1.8102,1.3638
,,24,1.6042,1.7865,1.3662
,,25,1.6040,1.7903,1.3663
,,26,1.6061,1.7992,1.3650
,,27,1.6037,1.7952,1.3647
,,28,1.5923,1.7879,1.3671
,Oct,01,1.5878,1.7842,1.3693
,,02,1.5885,1.7899,1.3729
,,03,1.5907,1.7851,1.3737
,,04,1.5844,1.7859,1.3810
,,05,1.5901,1.7980,1.3819
,,08,1.5924,1.8135,1.3832
,,09,1.5898,1.8114,1.3836
,,10,1.5890,1.8163,1.3805
,,11,1.5986,1.8279,1.3820
,,12,1.5941,1.8181,1.3739
,,15,1.5921,1.8073,1.3789
,,16,1.5939,1.8103,1.3771
,,17,1.5896,1.8112,1.3748
,,18,1.5839,1.8044,1.3776
,,19,1.5801,1.7959,1.3792
,,22,1.5851,1.7996,1.3765
,,23,1.5823,1.7908,1.3815
,,24,1.5799,1.7885,1.3775
,,25,1.5753,1.7795,1.3807
,,26,1.5727,1.7734,1.3837
,,29,1.5733,1.7725,1.3807
,,30,1.5744,1.7720,1.3832
,,31,1.5724,1.7616,1.3865
,Nov,01,1.5683,1.7765,1.3824
,,02,1.5696,1.7886,1.3765
,,05,1.5668,1.7871,1.3763
,,07,1.5724,1.8021,1.3720
,,08,1.5680,1.8011,1.3719
,,09,1.5627,1.7971,1.3771
,,12,1.5616,1.7836,1.3789
,,13,1.5540,1.7798,1.3818
,,14,1.5582,1.7935,1.3792
,,15,1.5597,1.7901,1.3766
,,16,1.5593,1.7598,1.3756
,,19,1.5669,1.7633,1.3739
,,20,1.5705,1.7630,1.3710
,,21,1.5643,1.7589,1.3757
,,22,1.5653,1.7554,1.3737
,,23,1.5671,1.7682,1.3728
,,26,1.5582,1.7609,1.3743
,,27,1.5591,1.7628,1.3757
,,28,1.5566,1.7560,1.3781
,,29,1.5604,1.7598,1.3715
,,30,1.5616,1.7513,1.3705
,Dec,03,1.5535,1.7484,1.3688
,,04,1.5521,1.7392,1.3653
,,05,1.5502,1.7381,1.3685
,,06,1.5540,1.7428,1.3701
,,07,1.5572,1.7480,1.3685
,,10,1.5654,1.7455,1.3693
,,11,1.5603,1.7263,1.3730
,,12,1.5554,1.7174,1.3731
,,13,1.5584,1.7295,1.3710
,,14,1.5588,1.7332,1.3722
,,17,1.5552,1.7298,1.3750
,,18,1.5575,1.7326,1.3716
,,19,1.5583,1.7345,1.3688
,,20,1.5627,1.7327,1.3731
,,21,1.5667,1.7318,1.3685
,,24,1.5628,1.7385,1.3722
,,26,1.5654,1.7424,1.3713
,,27,1.5627,1.7377,1.3730
,,28,1.5678,1.7331,1.3685
,,31,1.5618,1.7318,1.3648

"* Yearly, monthly and weekly figures are end period values."
"* Daily figures are values as of noon."


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar
2019,Jan,02,1.5635,1.7389,1.3660
,,03,1.5523,1.7147,1.3660
,,04,1.5521,1.7217,1.3620
,,07,1.5502,1.7302,1.3571
,,08,1.5537,1.7328,1.3582
,,09,1.5543,1.7283,1.3568
,,10,1.5623,1.7283,1.3507
,,11,1.5577,1.7247,1.3516
,,14,1.5521,1.7384,1.3535
,,15,1.5534,1.7443,1.3525
,,16,1.5452,1.7411,1.3550
,,17,1.5442,1.7456,1.3560
,,18,1.5451,1.7588,1.3558
,,21,1.5461,1.7480,1.3593
,,22,1.5450,1.7513,1.3599
,,23,1.5451,1.7612,1.3597
,,24,1.5471,1.7762,1.3586
,,25,1.5386,1.7829,1.3591
,,28,1.5434,1.7842,1.3517
,,29,1.5472,1.7799,1.3536
,,30,1.5454,1.7683,1.3514
,,31,1.5486,1.7681,1.3465
,Feb,01,1.5430,1.7660,1.3482
,,04,1.5486,1.7689,1.3527
,,07,1.5402,1.7530,1.3558
,,08,1.5388,1.7570,1.3570
,,11,1.5356,1.7537,1.3565
,,12,1.5335,1.7491,1.3595
,,13,1.5355,1.7477,1.3543
,,14,1.5317,1.7470,1.3577
,,15,1.5331,1.7381,1.3584
,,18,1.5337,1.7502,1.3552
,,19,1.5338,1.7514,1.3579
,,20,1.5336,1.7656,1.3520
,,21,1.5333,1.7633,1.3511
,,22,1.5356,1.7654,1.3543
,,25,1.5315,1.7645,1.3501
,,26,1.5338,1.7738,1.3501
,,27,1.5341,1.7853,1.3481
,,28,1.5345,1.7934,1.3487
,Mar,01,1.5379,1.7931,1.3526
,,04,1.5382,1.7919,1.3534
,,05,1.5351,1.7828,1.3553
,,06,1.5340,1.7839,1.3582
,,07,1.5338,1.7885,1.3569
,,08,1.5227,1.7807,1.3600
,,11,1.5271,1.7637,1.3595
,,12,1.5272,1.7922,1.3562
,,13,1.5310,1.7750,1.3567
,,14,1.5333,1.7953,1.3544
,,15,1.5338,1.7944,1.3551
,,18,1.5328,1.7977,1.3521
,,19,1.5326,1.7929,1.3505
,,20,1.5344,1.7927,1.3523
,,21,1.5390,1.7800,1.3470
,,22,1.5349,1.7728,1.3491
,,25,1.5271,1.7831,1.3515
,,26,1.5272,1.7813,1.3495
,,27,1.5232,1.7840,1.3536
,,28,1.5251,1.7875,1.3552
,,29,1.5223,1.7714,1.3559
,Apr,01,1.5202,1.7643,1.3536
,,02,1.5185,1.7718,1.3555
,,03,1.5193,1.7790,1.3540
,,04,1.5213,1.7824,1.3532
,,05,1.5201,1.7729,1.3544
,,08,1.5226,1.7717,1.3559
,,09,1.5261,1.7716,1.3545
,,10,1.5242,1.7673,1.3536
,,11,1.5262,1.7729,1.3534
,,12,1.5318,1.7741,1.3567
,,15,1.5301,1.7712,1.3527
,,16,1.5296,1.7716,1.3534
,,17,1.5305,1.7681,1.3541
,,18,1.5289,1.7652,1.3537
,,22,1.5250,1.7631,1.3571
,,23,1.5255,1.7609,1.3557
,,24,1.5243,1.7588,1.3596
,,25,1.5199,1.7579,1.3623
,,26,1.5166,1.7568,1.3620
,,29,1.5182,1.7597,1.3607
,,30,1.5237,1.7626,1.3620
,May,02,1.5249,1.7764,1.3608
,,03,1.5227,1.7768,1.3627
,,06,1.5271,1.7902,1.3643
,,07,1.5279,1.7884,1.3633
,,08,1.5248,1.7789,1.3610
,,09,1.5252,1.7727,1.3630
,,10,1.5305,1.7740,1.3629
,,13,1.5339,1.7774,1.3660
,,14,1.5377,1.7732,1.3682
,,15,1.5334,1.7663,1.3681
,,16,1.5336,1.7581,1.3683
,,17,1.5362,1.7578,1.3744
,,21,1.5355,1.7509,1.3756
,,22,1.5389,1.7533,1.3787
,,23,1.5384,1.7449,1.3797
,,24,1.5429,1.7468,1.3799
,,27,1.5401,1.7489,1.3734
,,28,1.5397,1.7452,1.3769
,,29,1.5413,1.7477,1.3804
,,30,1.5363,1.7419,1.3793
,,31,1.5348,1.7389,1.3789
,Jun,03,1.5331,1.7343,1.3707
,,04,1.5396,1.7328,1.3682
,,06,1.5339,1.7329,1.3658
,,07,1.5386,1.7336,1.3656
,,10,1.5447,1.7367,1.3657
,,11,1.5444,1.7313,1.3652
,,12,1.5464,1.7352,1.3644
,,13,1.5436,1.7340,1.3667
,,14,1.5420,1.7335,1.3679
,,17,1.5379,1.7265,1.3706
,,18,1.5393,1.7165,1.3708
,,19,1.5307,1.7180,1.3676
,,20,1.5319,1.7244,1.3593
,,21,1.5324,1.7236,1.3559
,,24,1.5415,1.7269,1.3544
,,25,1.5433,1.7247,1.3529
,,26,1.5396,1.7200,1.3559
,,27,1.5391,1.7187,1.3554
,,28,1.5383,1.7152,1.3535
,Jul,01,1.5360,1.7182,1.3529
,,02,1.5301,1.7144,1.3565
,,03,1.5303,1.7072,1.3558
,,04,1.5293,1.7053,1.3555
,,05,1.5299,1.7061,1.3560
,,08,1.5283,1.7044,1.3612
,,09,1.5257,1.7024,1.3608
,,10,1.5267,1.6965,1.3623
,,11,1.5282,1.6981,1.3552
,,12,1.5303,1.7030,1.3577
,,15,1.5290,1.7049,1.3564
,,16,1.5269,1.6970,1.3560
,,17,1.5254,1.6889,1.3604
,,18,1.5276,1.6905,1.3591
,,19,1.5277,1.7019,1.3564
,,22,1.5267,1.7018,1.3609
,,23,1.5259,1.6984,1.3630
,,24,1.5215,1.6973,1.3653
,,25,1.5199,1.7025,1.3649
,,26,1.5254,1.7029,1.3682
,,29,1.5266,1.6962,1.3718
,,30,1.5256,1.6649,1.3692
,,31,1.5275,1.6642,1.3694
,Aug,01,1.5200,1.6687,1.3762
,,02,1.5241,1.6642,1.3763
,,05,1.5382,1.6793,1.3826
,,06,1.5492,1.6805,1.3818
,,07,1.5512,1.6819,1.3834
,,08,1.5487,1.6806,1.3815
,,13,1.5526,1.6741,1.3877
,,14,1.5466,1.6690,1.3845
,,15,1.5480,1.6740,1.3886
,,16,1.5403,1.6770,1.3873
,,19,1.5359,1.6832,1.3848
,,20,1.5360,1.6807,1.3854
,,21,1.5354,1.6827,1.3838
,,22,1.5358,1.6798,1.3853
,,23,1.5347,1.6962,1.3867
,,26,1.5475,1.7046,1.3890
,,27,1.5426,1.6966,1.3895
,,28,1.5401,1.7045,1.3890
,,29,1.5392,1.6946,1.3887
,,30,1.5337,1.6909,1.3887
,Sep,02,1.5267,1.6892,1.3892
,,03,1.5245,1.6774,1.3940
,,04,1.5254,1.6827,1.3898
,,05,1.5258,1.6935,1.3836
,,06,1.5275,1.7061,1.3844
,,09,1.5219,1.6943,1.3803
,,10,1.5247,1.7035,1.3805
,,11,1.5240,1.7039,1.3793
,,12,1.5157,1.6973,1.3763
,,13,1.5205,1.6951,1.3737
,,16,1.5203,1.7125,1.3733
,,17,1.5156,1.7084,1.3765
,,18,1.5221,1.7171,1.3755
,,19,1.5217,1.7194,1.3789
,,20,1.5212,1.7266,1.3758
,,23,1.5168,1.7185,1.3761
,,24,1.5141,1.7119,1.3777
,,25,1.5144,1.7158,1.3764
,,26,1.5114,1.7064,1.3789
,,27,1.5101,1.7046,1.3824
,,30,1.5101,1.6971,1.3813
,Oct,01,1.5068,1.7001,1.3839
,,02,1.5140,1.7001,1.3844
,,03,1.5148,1.7012,1.3826
,,04,1.5142,1.7028,1.3794
,,07,1.5166,1.7024,1.3812
,,08,1.5151,1.6972,1.3805
,,09,1.5150,1.6881,1.3819
,,10,1.5144,1.6850,1.3781
,,11,1.5134,1.7088,1.3739
,,14,1.5096,1.7248,1.3685
,,15,1.5105,1.7273,1.3691
,,16,1.5134,1.7498,1.3720
,,17,1.5160,1.7547,1.3687
,,18,1.5189,1.7544,1.3651
,,21,1.5203,1.7591,1.3623
,,22,1.5181,1.7672,1.3615
,,23,1.5167,1.7530,1.3643
,,24,1.5167,1.7590,1.3621
,,25,1.5142,1.7514,1.3638
,,29,1.5121,1.7508,1.3627
,,30,1.5137,1.7525,1.3627
,,31,1.5195,1.7593,1.3605
,Nov,01,1.5169,1.7608,1.3587
,,04,1.5152,1.7550,1.3566
,,05,1.5110,1.7501,1.3583
,,06,1.5041,1.7497,1.3581
,,07,1.5042,1.7470,1.3603
,,08,1.5015,1.7410,1.3586
,,11,1.5003,1.7408,1.3612
,,12,1.5015,1.7501,1.3610
,,13,1.5007,1.7507,1.3628
,,14,1.5003,1.7507,1.3635
,,15,1.5005,1.7527,1.3611
,,18,1.5050,1.7590,1.3604
,,19,1.5073,1.7629,1.3611
,,20,1.5077,1.7575,1.3614
,,21,1.5090,1.7616,1.3625
,,22,1.5073,1.7593,1.3624
,,25,1.5031,1.7517,1.3640
,,26,1.5037,1.7608,1.3652
,,27,1.5043,1.7555,1.3657
,,28,1.5033,1.7660,1.3661
,,29,1.5040,1.7638,1.3660
,Dec,02,1.5073,1.7664,1.3680
,,03,1.5120,1.7664,1.3652
,,04,1.5114,1.7734,1.3641
,,05,1.5106,1.7873,1.3627
,,06,1.5109,1.7902,1.3603
,,09,1.5040,1.7882,1.3606
,,10,1.5051,1.7884,1.3599
,,11,1.5083,1.7866,1.3599
,,12,1.5113,1.7932,1.3563
,,13,1.5108,1.8218,1.3517
,,16,1.5081,1.8139,1.3547
,,17,1.5097,1.8010,1.3545
,,18,1.5103,1.7772,1.3565
,,19,1.5089,1.7741,1.3557
,,20,1.5068,1.7655,1.3556
,,23,1.5033,1.7649,1.3566
,,24,1.5038,1.7555,1.3561
,,26,1.5027,1.7599,1.3549
,,27,1.5053,1.7600,1.3539
,,30,1.5113,1.7701,1.3498
,,31,1.5094,1.7686,1.3472

"* Yearly, monthly and weekly figures are end period values."
"* Daily figures are values as of noon."


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar
2020,Jan,02,1.5101,1.7785,1.3468
,,03,1.5074,1.7720,1.3491
,,06,1.5083,1.7671,1.3505
,,07,1.5090,1.7764,1.3483
,,08,1.5067,1.7737,1.3507
,,09,1.5010,1.7699,1.3504
,,10,1.5003,1.7652,1.3507
,,13,1.4985,1.7557,1.3466
,,14,1.4996,1.7492,1.3466
,,15,1.5003,1.7560,1.3480
,,16,1.5019,1.7570,1.3467
,,17,1.4991,1.7607,1.3467
,,20,1.4945,1.7515,1.3469
,,21,1.4972,1.7557,1.3491
,,22,1.4958,1.7598,1.3498
,,23,1.4949,1.7709,1.3489
,,24,1.4919,1.7717,1.3501
,,28,1.4969,1.7730,1.3580
,,29,1.4952,1.7675,1.3577
,,30,1.5016,1.7745,1.3633
,,31,1.5014,1.7833,1.3619
,Feb,03,1.5161,1.8001,1.3681
,,04,1.5158,1.7820,1.3708
,,05,1.5234,1.7978,1.3806
,,06,1.5235,1.7989,1.3853
,,07,1.5217,1.7927,1.3856
,,10,1.5219,1.7920,1.3896
,,11,1.5145,1.7926,1.3877
,,12,1.5128,1.7961,1.3859
,,13,1.5083,1.7978,1.3878
,,14,1.5053,1.8122,1.3897
,,17,1.5070,1.8137,1.3902
,,18,1.5063,1.8081,1.3905
,,19,1.5020,1.8080,1.3909
,,20,1.5124,1.8080,1.4007
,,21,1.5104,1.8048,1.3999
,,24,1.5164,1.8125,1.4013
,,25,1.5174,1.8072,1.3968
,,26,1.5193,1.8164,1.3981
,,27,1.5233,1.8052,1.3968
,,28,1.5357,1.7993,1.3977
,Mar,02,1.5369,1.7848,1.3905
,,03,1.5485,1.7766,1.3908
,,04,1.5479,1.7770,1.3869
,,05,1.5442,1.7844,1.3865
,,06,1.5567,1.7961,1.3858
,,09,1.5766,1.8058,1.3810
,,10,1.5782,1.8095,1.3854
,,11,1.5748,1.7958,1.3901
,,12,1.5826,1.7939,1.3989
,,13,1.5838,1.7733,1.4125
,,16,1.5768,1.7502,1.4182
,,17,1.5890,1.7432,1.4213
,,18,1.5740,1.7294,1.4275
,,19,1.5827,1.6702,1.4523
,,20,1.5565,1.6845,1.4501
,,23,1.5632,1.6995,1.4592
,,24,1.5708,1.6913,1.4544
,,25,1.5642,1.7082,1.4472
,,26,1.5809,1.7177,1.4482
,,27,1.5811,1.7541,1.4271
,,30,1.5802,1.7654,1.4261
,,31,1.5710,1.7583,1.4247
,Apr,01,1.5696,1.7632,1.4244
,,02,1.5703,1.7779,1.4356
,,03,1.5526,1.7709,1.4314
,,06,1.5577,1.7622,1.4403
,,07,1.5484,1.7557,1.4317
,,08,1.5516,1.7590,1.4287
,,09,1.5484,1.7664,1.4249
,,13,1.5492,1.7665,1.4169
,,14,1.5485,1.7771,1.4145
,,15,1.5526,1.7833,1.4144
,,16,1.5535,1.7812,1.4286
,,17,1.5475,1.7792,1.4241
,,20,1.5449,1.7742,1.4225
,,21,1.5453,1.7687,1.4259
,,22,1.5513,1.7567,1.4297
,,23,1.5422,1.7585,1.4268
,,24,1.5357,1.7614,1.4258
,,27,1.5401,1.7634,1.4217
,,28,1.5382,1.7644,1.4211
,,29,1.5352,1.7656,1.4153
,,30,1.5326,1.7581,1.4108
,May,04,1.5508,1.7656,1.4172
,,05,1.5416,1.7618,1.4137
,,06,1.5356,1.7621,1.4175
,,08,1.5316,1.7501,1.4120
,,11,1.5316,1.7554,1.4119
,,12,1.5328,1.7480,1.4185
,,13,1.5378,1.7385,1.4173
,,14,1.5362,1.7356,1.4213
,,15,1.5386,1.7386,1.4240
,,18,1.5429,1.7259,1.4256
,,19,1.5479,1.7302,1.4189
,,20,1.5501,1.7370,1.4169
,,21,1.5522,1.7270,1.4159
,,22,1.5523,1.7337,1.4198
,,26,1.5523,1.7368,1.4217
,,27,1.5549,1.7480,1.4184
,,28,1.5639,1.7406,1.4203
,,29,1.5685,1.7436,1.4143
,Jun,01,1.5679,1.7442,1.4084
,,02,1.5644,1.7555,1.4061
,,03,1.5652,1.7576,1.3965
,,04,1.5723,1.7580,1.4018
,,05,1.5818,1.7576,1.3951
,,08,1.5734,1.7706,1.3937
,,09,1.5687,1.7666,1.3898
,,10,1.5740,1.7676,1.3876
,,11,1.5772,1.7622,1.3890
,,12,1.5722,1.7496,1.3921
,,15,1.5698,1.7452,1.3938
,,16,1.5753,1.7591,1.3893
,,17,1.5711,1.7506,1.3949
,,18,1.5662,1.7478,1.3922
,,19,1.5628,1.7327,1.3936
,,22,1.5619,1.7265,1.3956
,,23,1.5706,1.7388,1.3938
,,24,1.5702,1.7364,1.3876
,,25,1.5653,1.7277,1.3924
,,26,1.5610,1.7284,1.3910
,,29,1.5669,1.7240,1.3940
,,30,1.5658,1.7143,1.3932
,Jul,01,1.5649,1.7241,1.3939
,,02,1.5696,1.7401,1.3936
,,03,1.5679,1.7383,1.3946
,,06,1.5703,1.7387,1.3917
,,07,1.5749,1.7408,1.3925
,,08,1.5734,1.7521,1.3952
,,09,1.5800,1.7561,1.3905
,,13,1.5725,1.7571,1.3883
,,14,1.5803,1.7491,1.3934
,,15,1.5856,1.7486,1.3912
,,16,1.5874,1.7480,1.3919
,,17,1.5850,1.7489,1.3913
,,20,1.5886,1.7419,1.3911
,,21,1.5911,1.7610,1.3903
,,22,1.5964,1.7602,1.3833
,,23,1.6023,1.7627,1.3840
,,24,1.6089,1.7656,1.3854
,,27,1.6150,1.7714,1.3791
,,28,1.6173,1.7729,1.3794
,,29,1.6163,1.7808,1.3780
,,30,1.6195,1.7856,1.3752
,Aug,03,1.6198,1.8012,1.3760
,,04,1.6193,1.7992,1.3760
,,05,1.6202,1.7950,1.3713
,,06,1.6263,1.7986,1.3696
,,07,1.6229,1.7981,1.3724
,,11,1.6125,1.7961,1.3726
,,12,1.6116,1.7912,1.3751
,,13,1.6192,1.7906,1.3714
,,14,1.6217,1.7929,1.3733
,,17,1.6245,1.7942,1.3697
,,18,1.6257,1.7955,1.3676
,,19,1.6289,1.8075,1.3654
,,20,1.6224,1.7948,1.3694
,,21,1.6226,1.8084,1.3667
,,24,1.6175,1.7955,1.3723
,,25,1.6166,1.7943,1.3692
,,26,1.6175,1.7976,1.3685
,,27,1.6161,1.8041,1.3656
,,28,1.6180,1.8071,1.3641
,,31,1.6175,1.8137,1.3579
,Sep,01,1.6269,1.8195,1.3570
,,02,1.6205,1.8215,1.3615
,,03,1.6107,1.8157,1.3625
,,04,1.6173,1.8126,1.3653
,,07,1.6156,1.8076,1.3650
,,08,1.6153,1.7982,1.3679
,,09,1.6156,1.7778,1.3714
,,10,1.6166,1.7768,1.3676
,,11,1.6184,1.7541,1.3677
,,14,1.6186,1.7515,1.3662
,,15,1.6185,1.7502,1.3613
,,16,1.6111,1.7548,1.3600
,,17,1.6018,1.7598,1.3628
,,18,1.6072,1.7574,1.3563
,,21,1.6079,1.7555,1.3549
,,22,1.6030,1.7464,1.3623
,,23,1.5961,1.7385,1.3665
,,24,1.6025,1.7478,1.3747
,,25,1.6044,1.7535,1.3757
,,28,1.6007,1.7572,1.3757
,,29,1.6008,1.7631,1.3713
,,30,1.6059,1.7576,1.3692
,Oct,01,1.6010,1.7636,1.3634
,,02,1.6000,1.7567,1.3658
,,05,1.5978,1.7627,1.3625
,,06,1.6027,1.7653,1.3592
,,07,1.5974,1.7545,1.3619
,,08,1.5997,1.7574,1.3592
,,09,1.5975,1.7573,1.3565
,,12,1.6002,1.7650,1.3543
,,13,1.6032,1.7729,1.3593
,,14,1.5959,1.7578,1.3590
,,15,1.5951,1.7666,1.3577
,,16,1.5929,1.7551,1.3612
,,19,1.5894,1.7552,1.3577
,,20,1.5982,1.7576,1.3572
,,21,1.6059,1.7593,1.3556
,,22,1.6064,1.7803,1.3564
,,23,1.6033,1.7754,1.3589
,,26,1.6087,1.7704,1.3594
,,27,1.6073,1.7723,1.3596
,,28,1.6012,1.7720,1.3595
,,29,1.6020,1.7724,1.3632
,,30,1.5943,1.7637,1.3637
,Nov,02,1.5913,1.7671,1.3672
,,03,1.5893,1.7629,1.3640
,,04,1.5919,1.7766,1.3670
,,05,1.5934,1.7594,1.3579
,,06,1.5967,1.7729,1.3503
,,09,1.5982,1.7719,1.3440
,,10,1.5926,1.7746,1.3462
,,11,1.5921,1.7861,1.3461
,,12,1.5883,1.7824,1.3490
,,13,1.5933,1.7704,1.3501
,,16,1.5949,1.7802,1.3457
,,17,1.5944,1.7778,1.3446
,,18,1.5926,1.7795,1.3427
,,19,1.5911,1.7770,1.3436
,,20,1.5955,1.7819,1.3435
,,23,1.5935,1.7875,1.3422
,,24,1.5916,1.7916,1.3438
,,25,1.5976,1.7925,1.3418
,,26,1.5962,1.7918,1.3388
,,27,1.5960,1.7896,1.3385
,,30,1.6004,1.7834,1.3373
,Dec,01,1.6014,1.7890,1.3392
,,02,1.6146,1.7938,1.3364
,,03,1.6211,1.7902,1.3372
,,04,1.6196,1.7932,1.3334
,,07,1.6190,1.7913,1.3342
,,08,1.6193,1.7857,1.3367
,,09,1.6184,1.7858,1.3352
,,10,1.6169,1.7876,1.3370
,,11,1.6215,1.7766,1.3338
,,14,1.6190,1.7785,1.3344
,,15,1.6237,1.7822,1.3361
,,16,1.6194,1.7903,1.3316
,,17,1.6212,1.7958,1.3276
,,18,1.6244,1.7950,1.3264
,,21,1.6239,1.7798,1.3328
,,22,1.6326,1.7902,1.3350
,,23,1.6276,1.7897,1.3352
,,24,1.6227,1.8011,1.3291
,,28,1.6208,1.8003,1.3271
,,29,1.6265,1.7928,1.3288
,,30,1.6271,1.7933,1.3246
,,31,1.6249,1.8005,1.3221

"* Yearly, monthly and weekly figures are end period values."
"* Daily figures are values as of noon."


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar
2021,Jan,04,1.6145,1.8042,1.3174
,,05,1.6184,1.7917,1.3188
,,06,1.6209,1.7946,1.3194
,,07,1.6256,1.7936,1.3187
,,08,1.6252,1.7976,1.3255
,,11,1.6197,1.7970,1.3306
,,12,1.6169,1.7998,1.3311
,,13,1.6163,1.8112,1.3232
,,14,1.6119,1.8100,1.3272
,,15,1.6104,1.8136,1.3257
,,18,1.6073,1.8070,1.3314
,,19,1.6077,1.8084,1.3291
,,20,1.6104,1.8103,1.3261
,,21,1.6058,1.8111,1.3238
,,22,1.6123,1.8165,1.3244
,,25,1.6148,1.8172,1.3263
,,26,1.6110,1.8132,1.3271
,,27,1.6118,1.8202,1.3258
,,28,1.6101,1.8201,1.3317
,,29,1.6107,1.8246,1.3315
,Feb,01,1.6130,1.8266,1.3297
,,02,1.6077,1.8224,1.3309
,,03,1.6038,1.8203,1.3319
,,04,1.6040,1.8167,1.3347
,,05,1.6007,1.8304,1.3388
,,08,1.6054,1.8314,1.3336
,,09,1.6063,1.8325,1.3301
,,10,1.6078,1.8328,1.3259
,,11,1.6068,1.8354,1.3256
,,15,1.6049,1.8382,1.3226
,,16,1.6056,1.8438,1.3219
,,17,1.6059,1.8444,1.3284
,,18,1.5987,1.8395,1.3282
,,19,1.6052,1.8533,1.3283
,,22,1.6044,1.8556,1.3237
,,23,1.6067,1.8582,1.3205
,,24,1.6038,1.8686,1.3199
,,25,1.6049,1.8654,1.3188
,,26,1.6147,1.8571,1.3279
,Mar,01,1.6069,1.8603,1.3301
,,02,1.6011,1.8494,1.3314
,,03,1.6065,1.8565,1.3296
,,04,1.6061,1.8580,1.3329
,,05,1.5996,1.8593,1.3372
,,08,1.6009,1.8580,1.3452
,,09,1.6003,1.8677,1.3488
,,10,1.6008,1.8686,1.3474
,,11,1.6024,1.8711,1.3430
,,12,1.6051,1.8754,1.3420
,,15,1.6085,1.8738,1.3456
,,16,1.6041,1.8645,1.3442
,,17,1.6028,1.8706,1.3468
,,18,1.6045,1.8709,1.3417
,,19,1.6011,1.8700,1.3440
,,22,1.5973,1.8584,1.3428
,,23,1.5994,1.8562,1.3406
,,24,1.5944,1.8472,1.3457
,,25,1.5922,1.8451,1.3467
,,26,1.5875,1.8548,1.3476
,,29,1.5872,1.8554,1.3465
,,30,1.5861,1.8571,1.3478
,,31,1.5770,1.8493,1.3472
,Apr,01,1.5787,1.8556,1.3464
,,05,1.5838,1.8618,1.3456
,,06,1.5828,1.8631,1.3411
,,07,1.5884,1.8505,1.3385
,,08,1.5916,1.8442,1.3407
,,09,1.5950,1.8402,1.3397
,,12,1.5961,1.8374,1.3421
,,13,1.5965,1.8439,1.3427
,,14,1.5996,1.8416,1.3376
,,15,1.6013,1.8416,1.3374
,,16,1.5970,1.8376,1.3356
,,19,1.5939,1.8447,1.3331
,,20,1.6007,1.8573,1.3265
,,21,1.5993,1.8516,1.3293
,,22,1.5979,1.8502,1.3275
,,23,1.5978,1.8419,1.3292
,,26,1.6048,1.8420,1.3252
,,27,1.6011,1.8415,1.3267
,,28,1.6022,1.8408,1.3268
,,29,1.6067,1.8476,1.3250
,,30,1.6070,1.8497,1.3263
,May,03,1.6011,1.8412,1.3318
,,04,1.6040,1.8492,1.3323
,,05,1.6047,1.8564,1.3345
,,06,1.6042,1.8577,1.3370
,,07,1.6082,1.8536,1.3327
,,10,1.6119,1.8594,1.3262
,,11,1.6104,1.8733,1.3266
,,12,1.6107,1.8755,1.3293
,,14,1.6137,1.8754,1.3352
,,17,1.6202,1.8811,1.3355
,,18,1.6212,1.8888,1.3324
,,19,1.6271,1.8876,1.3304
,,20,1.6243,1.8820,1.3335
,,21,1.6285,1.8875,1.3315
,,24,1.6207,1.8821,1.3306
,,25,1.6226,1.8818,1.3272
,,27,1.6147,1.8690,1.3242
,,28,1.6130,1.8784,1.3235
,,31,1.6135,1.8777,1.3228
,Jun,01,1.6137,1.8785,1.3195
,,02,1.6161,1.8722,1.3222
,,03,1.6142,1.8737,1.3224
,,04,1.6084,1.8713,1.3276
,,07,1.6113,1.8731,1.3243
,,08,1.6118,1.8739,1.3235
,,09,1.6124,1.8746,1.3239
,,10,1.6113,1.8694,1.3241
,,11,1.6112,1.8745,1.3221
,,14,1.6053,1.8720,1.3267
,,15,1.6082,1.8720,1.3265
,,16,1.6097,1.8700,1.3278
,,17,1.6031,1.8701,1.3366
,,18,1.5983,1.8671,1.3407
,,21,1.5970,1.8581,1.3470
,,22,1.6027,1.8720,1.3455
,,23,1.6048,1.8751,1.3461
,,24,1.6045,1.8782,1.3459
,,25,1.6028,1.8699,1.3424
,,28,1.6029,1.8664,1.3442
,,29,1.6003,1.8628,1.3435
,,30,1.6001,1.8623,1.3444
,Jul,01,1.5952,1.8596,1.3463
,,02,1.5987,1.8586,1.3500
,,05,1.5961,1.8612,1.3466
